transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban_x,recipient_iban_x,balance_after,description,timestamp,sender_signature,recipient_signature,sender_user_idx_sig,recipient_user_idx_sig,sender_user_idx_iban,recipient_user_idx_iban,sender_user_idx,recipient_user_idx,sender_link_score,recipient_link_score,sender_first_name,sender_last_name,sender_user_full_name,sender_residence_city,sender_residence_lat,sender_residence_lng,sender_salary,sender_job,sender_iban_y,sender_user_signature,recipient_first_name,recipient_last_name,recipient_user_full_name,recipient_residence_city,recipient_residence_lat,recipient_residence_lng,recipient_salary,recipient_job,recipient_iban_y,recipient_user_signature,city_lat,city_lng,latest_gps_lat,latest_gps_lng,latest_gps_timestamp,sender_comm_mentions,recipient_comm_mentions,amount_robust_z_sender,amount_robust_z_recipient,new_sender_recipient_pair,new_payment_method_for_sender,new_transaction_type_for_sender,description_present,description_length,description_keyword_hits,txn_count_past_1h,txn_count_past_24h,txn_count_past_7d,time_since_prev_txn_seconds,hour_rarity,weekday_rarity,burst_count_10min,distance_from_residence_km,distance_from_latest_gps_km,geo_novelty,suspicious_communication_window_score,comm_events_past_7d,iso_anomaly_score,lof_anomaly_score,novelty_score,transaction_behavior_score,transaction_behavior_reason,temporal_sequence_score,temporal_sequence_reason,geospatial_score,geospatial_reason,communication_risk_score,communication_risk_reason,novelty_drift_score,novelty_drift_reason,final_risk_score,top_risk_reasons,flagged,threshold_used
beaa4b03-0a2f-48a1-abb4-a5c7378ed046,RGNR-LNAA-7FF-AUD-0,RETRB44116,e-commerce,106.15,UrbanCart Marketplace,PayPal,FR85H4824371990132980420818,IT91O5211763429097941016653304,38757.65,,2087-10-30 11:21:05+00:00,RGNR-LNAA,,0.0,,0.0,,0.0,,0.95,0.0,Alain,Regnier,Alain Regnier,Audincourt,47.4836,6.8403,34100.0,Office Clerk,FR85H4824371990132980420818,RGNR-LNAA,,,,,,,,,,,,,47.48,6.8257,2087-10-27 01:39:20+00:00,67,9,-16.187632525197476,0.0,1,1,1,0,0,0,0.0,0.0,0.0,2062969.0,0.8666666666666667,0.8666666666666667,0.0,,,1.0,0.00041543209581898656,0.0,0.8088189410533732,2.087714166618131e-05,0.4044199090975197,0.7225745881826775,sender_amount_outlier;new_counterparty_pair;new_payment_method;new_transaction_type,0.3472881759338836,rapid_sequence;unusual_hour;unusual_weekday,0.2,new_geo_context,0.0,no_risky_communication_context,0.653073667336719,stable_profile,0.4213317799985359,sender_amount_outlier;new_counterparty_pair;new_payment_method;new_transaction_type | stable_profile | rapid_sequence;unusual_hour;unusual_weekday,True,0.31479085128963713
32e73719-7b07-4c61-9fac-6c715c92ab1f,BRCH-TRCY-802-HAM-1,MKTSW90199,e-commerce,99.8,SwiftCart Online,debit card,GB55A1899498623707047636913,IT74G5663459696944669320308106,9048.07,,2087-01-22 16:22:55+00:00,BRCH-TRCY,,2.0,,2.0,,2.0,,0.95,0.0,Tracy,Birch,Tracy Birch,Hampstead,51.5541,-0.1744,12700.0,Ride-share Driver,GB55A1899498623707047636913,BRCH-TRCY,,,,,,,,,,,,,51.5433,-0.1325,2087-01-22 13:43:24+00:00,63,9,-6.86076086956521,0.6745000000000001,1,1,1,0,0,0,0.0,0.0,0.0,1381959.0,0.8,0.8,0.0,,,1.0,0.0,0.0,0.8050319391133698,3.0461667551592067e-05,0.4025312003904607,0.7448123893840932,sender_amount_outlier;new_counterparty_pair;new_payment_method;new_transaction_type,0.3359699762080528,rapid_sequence,0.2,new_geo_context,0.0,no_risky_communication_context,0.6129829318437124,stable_profile,0.4180783920010249,sender_amount_outlier;new_counterparty_pair;new_payment_method;new_transaction_type | stable_profile | rapid_sequence,True,0.31479085128963713
c1da1f34-1760-4841-966f-cbed3f255dfb,GRSC-KRLH-807-DIE-1,,in-person payment,16.29,Dietzenbach - Dietzenbach Coffee House,smartwatch,DE41E6333599170389191000654,IT12C4911119659728199667090917,23364.01,,2087-06-14 09:23:14+00:00,GRSC-KRLH,,1.0,,1.0,,1.0,,0.95,0.0,Karl-Hermann,Girschner,Karl-Hermann Girschner,Dietzenbach,50.0167,8.7833,33200.0,Freelance Designer,DE41E6333599170389191000654,GRSC-KRLH,,,,,,,,,,,,,50.0149,8.7735,2087-06-13 19:20:14+00:00,66,9,-12.205044994751411,0.0,1,1,1,0,0,0,0.0,0.0,0.0,847189.0,0.8571428571428572,0.7142857142857143,0.0,,,1.0,0.04472557008693293,1.0,0.7367665514430596,2.240970410864787e-06,0.36838439620673524,0.7178899715068755,sender_amount_outlier;new_counterparty_pair;new_payment_method;new_transaction_type,0.33569614574090817,rapid_sequence;unusual_hour,0.2,new_geo_context,0.0,no_risky_communication_context,0.6431969088068795,stable_profile,0.41592386475534504,sender_amount_outlier;new_counterparty_pair;new_payment_method;new_transaction_type | stable_profile | rapid_sequence;unusual_hour,True,0.31479085128963713
3ba7708b-367a-4637-9b52-d8fea85dc8e7,BRCH-TRCY-802-HAM-1,ACCRN68493,direct debit,22.21,,,GB55A1899498623707047636913,IT24M4140981830157061401795306,12379.83,Rideshare app subscription,2087-06-11 05:39:27+00:00,BRCH-TRCY,,2.0,,2.0,,2.0,,0.95,0.0,Tracy,Birch,Tracy Birch,Hampstead,51.5541,-0.1744,12700.0,Ride-share Driver,GB55A1899498623707047636913,BRCH-TRCY,,,,,,,,,,,,,51.5128,-0.1701,2087-06-08 20:12:16+00:00,63,9,-8.856735507246368,0.0,1,0,1,1,26,0,0.0,0.0,1.0,468665.0,0.9333333333333333,0.8,0.0,,,0.0,0.15012458479926677,3.0,0.7030538530222402,2.013252147991428e-06,0.3515279331371941,0.5956986313078352,sender_amount_outlier;new_counterparty_pair;new_transaction_type,0.44932360503327373,rapid_sequence;unusual_hour,0.0,geo_consistent,0.0,no_risky_communication_context,0.705409007604264,stable_profile,0.38363395914161613,stable_profile | sender_amount_outlier;new_counterparty_pair;new_transaction_type | rapid_sequence;unusual_hour,True,0.31479085128963713
44fdd50c-73f4-4f0d-8b03-0409ebd8890b,EMP92998,RGNR-LNAA-7FF-AUD-0,transfer,2883.07,,,IT24Q9761542929117361438734311,FR85H4824371990132980420818,23406.79,Salary payment Jan,2087-01-06 18:39:20+00:00,,RGNR-LNAA,,0.0,,0.0,,0.0,0.0,0.95,,,,,,,,,,,Alain,Regnier,Alain Regnier,Audincourt,47.4836,6.8403,34100.0,Office Clerk,FR85H4824371990132980420818,RGNR-LNAA,,,,,,9,67,1.851339314516132,1.851339314516132,1,1,1,1,18,0,0.0,0.0,0.0,9000000000.0,0.8333333333333334,0.9166666666666666,0.0,,,1.0,0.021946479038813464,1.0,0.9445645065052611,0.9999999999993654,0.9722822532523132,0.6506749691324785,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty,0.14750000000000002,unusual_hour;unusual_weekday,0.2,new_geo_context,0.0733454567761334,"mail:heuristic_mail: kw=0, domain=1, url=1",0.622045425588698,feature_novelty,0.36885935018276367,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty | feature_novelty | new_geo_context,True,0.31479085128963713
9caf7a6f-afa8-43a8-b0bb-8a81d16f8cc3,RGNR-LNAA-7FF-AUD-0,ACCST55537,direct debit,46.09,,,FR85H4824371990132980420818,IT86B8103978239516296290056188,29700.6,Mobile phone monthly plan,2087-06-06 02:45:45+00:00,RGNR-LNAA,,0.0,,0.0,,0.0,,0.95,0.0,Alain,Regnier,Alain Regnier,Audincourt,47.4836,6.8403,34100.0,Office Clerk,FR85H4824371990132980420818,RGNR-LNAA,,,,,,,,,,,,,47.4737,6.831,2087-06-05 03:52:42+00:00,67,9,-17.29115935712338,-0.6744999999999999,1,0,1,1,25,0,0.0,0.0,0.0,2714098.0,0.9333333333333333,0.8,0.0,,,0.0,0.007014055930546994,0.0,0.5653391184594636,3.984043911375237e-06,0.28267155125168747,0.6092306349960527,sender_amount_outlier;new_counterparty_pair;new_transaction_type,0.3492737063508826,rapid_sequence;unusual_hour,0.0,geo_consistent,0.0,no_risky_communication_context,0.6438271748610012,stable_profile,0.3563282105440515,stable_profile | sender_amount_outlier;new_counterparty_pair;new_transaction_type | rapid_sequence;unusual_hour,True,0.31479085128963713
f8efb252-3303-4666-a1db-1633bcfab23e,EMP92998,RGNR-LNAA-7FF-AUD-0,transfer,2796.6,,,IT24Q9761542929117361438734311,FR85H4824371990132980420818,31507.46,Salary payment Jun,2087-06-07 10:03:28+00:00,,RGNR-LNAA,,0.0,,0.0,,0.0,0.0,0.95,,,,,,,,,,,Alain,Regnier,Alain Regnier,Audincourt,47.4836,6.8403,34100.0,Office Clerk,FR85H4824371990132980420818,RGNR-LNAA,,,,,,9,67,-2.852210282258041,-2.852210282258041,0,0,0,1,18,0,0.0,0.0,0.0,2743477.0,0.9166666666666666,0.8333333333333334,0.0,,,0.0,0.6335600689471419,2.0,0.5160946046758859,1.8008964944107838e-06,0.2580482027861901,0.2712304565503748,baseline_behavior,0.3499397201486416,rapid_sequence;unusual_hour;unusual_weekday,0.0,geo_consistent,0.7376639021115132,"mail:heuristic_mail: kw=6, domain=4, url=1",0.3626349615536063,stable_profile,0.34398626732355486,"mail:heuristic_mail: kw=6, domain=4, url=1 | stable_profile | rapid_sequence;unusual_hour;unusual_weekday",True,0.31479085128963713
fff9978c-8395-490a-95a1-8347bc751a2b,EMP96127,BRCH-TRCY-802-HAM-1,transfer,1079.04,,,IT90D8110289790688935324753197,GB55A1899498623707047636913,9483.96,Salary payment Jan,2087-01-05 12:32:25+00:00,,BRCH-TRCY,,2.0,,2.0,,2.0,0.0,0.95,,,,,,,,,,,Tracy,Birch,Tracy Birch,Hampstead,51.5541,-0.1744,12700.0,Ride-share Driver,GB55A1899498623707047636913,BRCH-TRCY,,,,,,9,63,1.2991789772727327,1.2991789772727327,1,1,1,1,18,0,0.0,0.0,0.0,9000000000.0,0.75,0.8333333333333334,0.0,,,1.0,0.0,0.0,1.0,1.0,1.0,0.6082649147727277,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty,0.13333333333333336,unusual_weekday,0.2,new_geo_context,0.0,no_risky_communication_context,0.5324458758042138,feature_novelty,0.3248211004477889,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty | feature_novelty | new_geo_context,True,0.31479085128963713
c7491b59-9186-42c8-a930-1411b13dfe13,BRCH-TRCY-802-HAM-1,ABIT36422,transfer,336.09,,,GB55A1899498623707047636913,IT79Z3132921345218816901038837,9147.87,Rent payment Jan - Rental Management,2087-01-06 16:30:16+00:00,BRCH-TRCY,,2.0,,2.0,,2.0,,0.95,0.0,Tracy,Birch,Tracy Birch,Hampstead,51.5541,-0.1744,12700.0,Ride-share Driver,GB55A1899498623707047636913,BRCH-TRCY,,,,,,,,,,,,,51.5963,-0.2279,2087-01-06 08:48:25+00:00,63,9,-0.7822862318840578,-1.4208713543170648,1,1,1,1,36,0,0.0,0.0,0.0,9000000000.0,0.8,0.8666666666666667,0.0,,,1.0,0.0,0.0,0.8047686650227351,0.9999999999993583,0.9023843325110468,0.5737866532978744,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty,0.1406666666666667,unusual_weekday,0.2,new_geo_context,0.0,no_risky_communication_context,0.5492712393223829,feature_novelty,0.31966241933476713,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty | feature_novelty | new_geo_context,True,0.31479085128963713
8289782a-685b-45cd-b0a1-2caed460b686,RGNR-LNAA-7FF-AUD-0,ACCST55537,direct debit,125.55,,,FR85H4824371990132980420818,IT68A4965056510865645348459555,42248.36,Private health insurance monthly premium,2087-12-09 08:05:41+00:00,RGNR-LNAA,,0.0,,0.0,,0.0,,0.95,0.0,Alain,Regnier,Alain Regnier,Audincourt,47.4836,6.8403,34100.0,Office Clerk,FR85H4824371990132980420818,RGNR-LNAA,,,,,,,,,,,,,47.4953,6.8337,2087-12-08 03:54:13+00:00,67,9,-15.831181966766533,0.6745000000000001,0,0,0,1,40,0,0.0,0.0,1.0,243017.0,0.8,0.8666666666666667,0.0,,,0.0,0.09944696549315378,3.0,0.6119148091439638,2.013252147991428e-06,0.3059584111980559,0.36225792678908064,sender_amount_outlier,0.44066195278381937,rapid_sequence;unusual_weekday,0.0,geo_consistent,0.0,no_risky_communication_context,0.6957013401773924,stable_profile,0.31479085128963713,stable_profile | rapid_sequence;unusual_weekday | sender_amount_outlier,True,0.31479085128963713
b54bb23c-6703-4d7b-8149-411205534ef9,EMP14947,GRSC-KRLH-807-DIE-1,transfer,2816.15,,,IT94K6977238831108098344306373,DE41E6333599170389191000654,15388.8,Salary payment Jan,2087-01-04 11:23:43+00:00,,GRSC-KRLH,,1.0,,1.0,,1.0,0.0,0.95,,,,,,,,,,,Karl-Hermann,Girschner,Karl-Hermann Girschner,Dietzenbach,50.0167,8.7833,33200.0,Freelance Designer,DE41E6333599170389191000654,GRSC-KRLH,,,,,,9,66,1.1468264167393245,1.1468264167393245,1,1,1,1,18,0,0.0,0.0,0.0,9000000000.0,0.9166666666666666,0.8333333333333334,0.0,,,1.0,0.0,0.0,0.7095812038839652,0.9999999999992875,0.8547906019416263,0.5766916463140218,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty,0.15000000000000002,unusual_hour;unusual_weekday,0.2,new_geo_context,0.0,no_risky_communication_context,0.4581602039178247,feature_novelty,0.30594249767313453,new_counterparty_pair;new_payment_method;new_transaction_type;high_novelty | feature_novelty | new_geo_context,False,0.31479085128963713
